--
--               ORNL 421-group energy structure for NJOY input
--
        421
 1.000000-5 1.000000-4 5.000000-4 7.500000-4 1.000000-3 1.200000-3
 1.500000-3 2.000000-3 2.500000-3 3.000000-3 4.000000-3 5.000000-3
 7.500000-3 1.000000-2 2.530000-2 3.000000-2 4.000000-2 5.000000-2
 6.000000-2 7.000000-2 8.000000-2 9.000000-2 1.000000-1 1.250000-1
 1.500000-1 1.750000-1 2.000000-1 2.250000-1 2.500000-1 2.750000-1
 3.000000-1 3.250000-1 3.500000-1 3.750000-1 4.000000-1 4.500000-1
 5.000000-1 5.500000-1 6.000000-1 6.250000-1 6.500000-1 7.000000-1
 7.500000-1 8.000000-1 8.500000-1 9.000000-1 9.250000-1 9.500000-1
 9.750000-1 1.000000+0 1.009990+0 1.020000+0 1.030000+0 1.040000+0
 1.049990+0 1.059990+0 1.070000+0 1.080000+0 1.089990+0 1.099990+0
 1.110000+0 1.120000+0 1.129990+0 1.139990+0 1.150000+0 1.174990+0
 1.200000+0 1.224990+0 1.250000+0 1.299990+0 1.349990+0 1.400000+0
 1.450000+0 1.500000+0 1.589990+0 1.679990+0 1.770000+0 1.860000+0
 1.940000+0 2.000000+0 2.120000+0 2.209990+0 2.299990+0 2.379990+0
 2.469990+0 2.570000+0 2.669990+0 2.770000+0 2.870000+0 2.969990+0
 3.000000+0 3.049990+0 3.150000+0 3.500000+0 3.730000+0 4.000000+0
 4.750000+0 5.000000+0 5.400000+0 6.000000+0 6.250000+0 6.500000+0
 6.750000+0 7.000000+0 7.150000+0 8.099990+0 9.099990+0 1.000000+1
 1.150000+1 1.190000+1 1.290000+1 1.375000+1 1.440000+1 1.509990+1
 1.600000+1 1.700000+1 1.850000+1 1.900000+1 2.000000+1 2.100000+1
 2.250000+1 2.500000+1 2.750000+1 3.000000+1 3.125000+1 3.175000+1
 3.325000+1 3.375000+1 3.460000+1 3.550000+1 3.700000+1 3.800000+1
 3.910000+1 3.960000+1 4.100000+1 4.240000+1 4.400000+1 4.520000+1
 4.700000+1 4.830000+1 4.920000+1 5.060000+1 5.200000+1 5.340000+1
 5.900000+1 6.100000+1 6.500000+1 6.750000+1 7.200000+1 7.600000+1
 8.000000+1 8.200000+1 9.000000+1 1.000000+2 1.080000+2 1.150000+2
 1.190000+2 1.220000+2 1.860000+2 1.925000+2 2.075000+2 2.100000+2
 2.400000+2 2.850000+2 3.050000+2 5.500000+2 6.700000+2 6.830000+2
 9.500000+2 1.000000+3 1.047129+3 1.096478+3 1.150000+3 1.202264+3
 1.258925+3 1.318257+3 1.380384+3 1.445440+3 1.500000+3 1.513561+3
 1.550000+3 1.584893+3 1.659587+3 1.737801+3 1.800000+3 1.819701+3
 1.905461+3 1.995262+3 2.089296+3 2.187762+3 2.200000+3 2.290000+3
 2.398833+3 2.511886+3 2.580000+3 2.630268+3 2.754229+3 2.884032+3
 3.000000+3 3.162278+3 3.311311+3 3.467369+3 3.630781+3 3.740000+3
 3.801894+3 3.900000+3 3.981072+3 4.168694+3 4.365158+3 4.570882+3
 4.786301+3 5.011872+3 5.248075+3 5.495409+3 5.754399+3 6.000000+3
 6.309573+3 6.606934+3 6.918310+3 7.244360+3 7.585776+3 7.800000+3
 8.030000+3 8.317638+3 8.709636+3 9.120108+3 9.500000+3 9.750000+3
 1.000000+4 1.047129+4 1.096478+4 1.148154+4 1.202264+4 1.258925+4
 1.300000+4 1.318257+4 1.380384+4 1.445440+4 1.513561+4 1.584893+4
 1.659587+4 1.700000+4 1.760000+4 1.819701+4 1.905461+4 1.995262+4
 2.089296+4 2.187762+4 2.290868+4 2.398833+4 2.500000+4 2.630268+4
 2.754229+4 2.884032+4 3.000000+4 3.162278+4 3.311311+4 3.467369+4
 3.630781+4 3.801894+4 3.981072+4 4.168694+4 4.365158+4 4.500000+4
 4.570882+4 4.786301+4 5.000000+4 5.011872+4 5.200000+4 5.300000+4
 5.495409+4 5.754399+4 6.000000+4 6.309573+4 6.606934+4 6.918310+4
 7.244360+4 7.300000+4 7.500000+4 7.650000+4 7.943282+4 8.200000+4
 8.317638+4 8.500000+4 8.709636+4 9.120108+4 9.549926+4 1.000000+5
 1.047129+5 1.096478+5 1.148154+5 1.202264+5 1.258925+5 1.283000+5
 1.318257+5 1.380384+5 1.445440+5 1.500000+5 1.513561+5 1.584893+5
