NO-PN-IMPORT derivations/test_atkinson_product_nystrom.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_annulus_solver.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_annulus_symbolic.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_cylinder_mr.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_cylinder_mr_xverif.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_cylinder_symbolic.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_cylinder_xverif_sood2003.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_garcia2021.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_hollow_sphere_solver.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_hollow_sphere_symbolic.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_mg.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_mr.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_slab_asymmetric_solver.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_slab_asymmetric_symbolic.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_slab_symbolic.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_solver.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_symbolic.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_greens_function_vacuum.py | solve: [] | other: [] | reg: []
NO-PN-IMPORT derivations/test_peierls_variant_alpha_core.py | solve: [] | other: [] | reg: []
NYSTROM-SOLVE cp/test_peierls_cylinder_flux.py | solve: ['PeierlsSolution', 'build_volume_kernel', 'build_white_bc_correction'] | other: ['GEOMETRY', 'composite_gl_r'] | reg: []
NYSTROM-SOLVE cp/test_peierls_flux.py | solve: [] | other: [] | reg: ['peierls_slab_2eg_2rg']
NYSTROM-SOLVE cp/test_peierls_sphere_flux.py | solve: ['PeierlsSolution', 'build_volume_kernel', 'build_white_bc_correction'] | other: ['GEOMETRY', 'composite_gl_r'] | reg: []
NYSTROM-SOLVE derivations/test_continuous_registry_lazy.py | solve: ['continuous_case_builders', 'continuous_cases'] | other: [] | reg: ['peierls_slab_2eg_2rg']
NYSTROM-SOLVE derivations/test_peierls_assembly_drivers.py | solve: ['per_observer_angular_assembly', 'per_surface_centred_angular_assembly'] | other: ['CYLINDER_1D', 'SPHERE_1D'] | reg: []
